PGC,Name,RAJ2000,DEJ2000,TT,Bmag,Ksmag,logK,HRV,VLS,Dist,e_Dist,PGC1,CF3
5064912,"SDSSJ025957.65+001545.4",44.9903,0.2626,,19.29,15.28,7.9,1642,1677,,,5064912,0
1162351,"PGC1162351",45.2996,0.303,9.0,17.64,15.73,8.17,2793,2827,,,1162351,0
1169385,"PGC1169385",44.8105,0.5664,10.0,17.16,15.78,8.15,2773,2810,,,1169385,0
11153,"UGC02429",44.2876,1.3263,9.0,14.8,12.88,8.93,1776,1818,30.62,25,11153,1
1198049,"PGC1198049",44.8296,1.5429,,18.2,15.38,8.34,2877,2918,,,1198049,0
11639,"UGC02535",46.5489,1.5921,9.9,16.69,13.93,8.95,2968,3004,,,11639,0
1210443,"PGC1210443",45.8383,1.9259,,17.03,14.13,8.75,2594,2633,,,1210443,0
1230912,"PGC1230912",45.2473,2.566,,16.39,12.4,9.65,3298,3342,,,1230912,0
11156,"IC0273",44.2948,2.7751,0.9,13.67,10.21,10.5,3188,3236,35.81,18,11156,1
10942,"NGC1137",43.5114,2.9621,3.0,13.0,10.03,10.53,3042,3094,,,10942,0
11336,"IC0277",44.9609,2.7713,4.0,13.44,10.22,10.4,2849,2895,,,11336,0
11230,"NGC1153",44.5429,3.3619,-1.5,13.09,9.12,10.92,3126,3176,,,11230,0
11265,"UGC02446",44.6727,3.4349,-5.0,14.06,10.76,10.26,3104,3154,,,11230,0
11252,"UGC02441",44.5921,3.8627,6.4,12.88,10.7,10.27,3053,3105,34.04,18,11252,1
12188,"PGC012188",49.2593,3.6494,8.0,15.64,11.18,9.02,890,925,,,12188,0
10588,"UGC02275",41.9909,3.8855,8.8,13.38,11.11,9.19,1025,1086,,,10588,0
10861,"UGC02352",43.0221,4.3701,9.4,15.86,14.4,8.34,1809,1869,,,10861,0
10813,"PGC010813",42.7689,4.4535,5.0,14.58,11.66,8.96,1010,1071,,,10813,0
100744,"PGC100744",41.9466,5.5889,10.0,15.77,13.42,8.6,1519,1587,,,100744,0
11178,"UGC02432",44.3612,10.1365,8.8,15.74,13.84,7.87,759,838,,,11178,0
87291,"PGC087291",41.3203,9.5511,9.0,16.21,13.87,9.1,3391,3478,,,87291,0
4668292,"HIPASSJ0237+12",39.3276,12.5188,9.0,,13.43,8.25,960,1066,,,4668292,0
5072714,"Galfa=dw3",44.7342,13.63,,,21.0,4.75,529,621,,,5072714,0
14149,"UGC02905",59.2514,16.5232,9.7,13.95,12.2,7.76,292,347,8.13,18,14149,1
4668293,"HIPASSJ0341+18",55.5081,18.1418,8.0,,12.89,8.68,1297,1371,,,4668293,0
1601696,"PGC1601696",58.2459,19.6832,2.1,16.85,12.78,9.49,3249,3320,,,1601696,0
12514,"UGC02684",50.0988,17.2957,10.0,15.09,13.5,7.47,350,439,,,12719,0
12719,"UGC02716",51.0311,17.7535,7.9,14.22,11.5,8.28,381,468,,,12719,0
13465,"UGC02809",54.8877,19.7843,9.6,14.66,12.59,8.8,1288,1370,,,13465,0
13557,"UGC02816",55.2995,24.0126,6.0,13.45,11.91,9.06,1260,1358,,,13557,0
2807105,"PGC2807105",33.114,10.333,10.0,,13.83,8.57,1740,1857,,,2807105,0
